Time,X(m),Y(m),Z(m)
145,-3187582.71786627,5327904.35119659,2973686.6240003
146,-3187687.33761259,5327899.00703408,2973584.40248177
147,-3187791.94027798,5327893.66988491,2973482.17950579
148,-3187896.55640381,5327888.32117433,2973379.95561075
149,-3188001.17213532,5327882.97009602,2973277.72918164
150,-3188105.78582526,5327877.61673083,2973175.5018341
151,-3188210.397936,5327872.26110414,2973073.27302877
152,-3188315.00855413,5327866.90316381,2972971.04276624
153,-3188419.617593,5327861.54296167,2972868.81104654
154,-3188524.22446026,5327856.18055045,2972766.57840867
155,-3188628.83047039,5327850.81574696,2972664.34377481
156,-3188733.41867711,5327845.45809035,2972562.10822235
157,-3188838.02216405,5327840.08868455,2972459.87013611
158,-3188942.62293019,5327834.71709717,2972357.6316698
159,-3189047.22275242,5327829.34316898,2972255.39120821
160,-3189151.82108168,5327823.96692714,2972153.14928981
161,-3189256.41783133,5327818.58842347,2972050.90591465
162,-3189361.01304462,5327813.20763206,2971948.66108278
163,-3189465.60672152,5327807.82455291,2971846.41479425
164,-3189570.19886196,5327802.43918601,2971744.16704912
165,-3189674.79005816,5327797.05147818,2971641.91730893
166,-3189779.3629018,5327791.67094767,2971539.66718921
167,-3189883.95043267,5327786.27871784,2971437.41507455
168,-3189988.53587803,5327780.88422723,2971335.16204251
169,-3190093.12029232,5327775.48744783,2971232.90701508
170,-3190197.70325649,5327770.08832881,2971130.65053135
171,-3190302.28464061,5327764.68694797,2971028.39259135
172,-3190406.86453124,5327759.28325343,2970926.13319515
173,-3190511.4434339,5327753.87724378,2970823.87180424
174,-3190616.02016418,5327748.46902556,2970721.60949577
175,-3190720.59540084,5327743.05849365,2970619.34573123
176,-3190825.15292029,5327737.65506313,2970517.08104926
177,-3190929.72508297,5327732.23995599,2970414.81437276
178,-3191034.29511646,5327726.82261444,2970312.54677894
179,-3191138.86420498,5327721.40293178,2970210.27719069
180,-3191243.43175635,5327715.98096134,2970108.00614663
181,-3191347.99836263,5327710.55664973,2970005.7331082
182,-3191452.56288285,5327705.13007779,2969903.45915267
183,-3191557.12582249,5327699.701244,2969801.18374148
184,-3191661.6872248,5327694.27012242,2969698.90687468
185,-3191766.24708977,5327688.83671275,2969596.62855285
186,-3191870.78919398,5327683.41043389,2969494.34931363
187,-3191975.345392,5327677.97250274,2969392.06861897
188,-3192079.90009586,5327672.53225757,2969289.78646944
189,-3192184.45440294,5327667.08964391,2969187.50178671
190,-3192289.00653708,5327661.64482187,2969085.21618734
191,-3192393.55717688,5327656.19768609,2968982.9291327
192,-3192498.10632229,5327650.74823657,2968880.64062286
193,-3192602.65388667,5327645.2965252,2968778.35065786
194,-3192707.19991329,5327639.84252601,2968676.05923775
195,-3192811.728771,5327634.39560663,2968573.7663626
196,-3192916.27172195,5327628.93703214,2968471.47203243
197,-3193020.81254302,5327623.47622345,2968369.17678604
198,-3193125.35246143,5327618.01304741,2968266.87954601
199,-3193229.89079855,5327612.54760951,2968164.58085113
200,-3193334.42759762,5327607.0798838,2968062.28070145
201,-3193438.96285862,5327601.60987027,2967959.97909701
202,-3193543.49662479,5327596.13754297,2967857.67603786
203,-3193648.02876622,5327590.66297945,2967755.37152459
204,-3193752.55941271,5327585.18610246,2967653.06555618
205,-3193857.07352523,5327579.71622866,2967550.75759443
206,-3193961.60105186,5327574.23480227,2967448.44871695
207,-3194066.12594295,5327568.7511436,2967346.13946264
208,-3194170.65043616,5327563.26511563,2967243.82767632
209,-3194275.17339094,5327557.77679982,2967141.51443564
210,-3194379.69480724,5327552.28619619,2967039.19974066
211,-3194484.21468501,5327546.79330472,2966936.88359142
212,-3194588.73306751,5327541.29809946,2966834.56598799
213,-3194693.25045995,5327535.80057852,2966732.24639154
214,-3194797.76576518,5327530.30079755,2966629.92587983
215,-3194902.26381435,5327524.80815441,2966527.60391407
216,-3195006.77599884,5327519.30382404,2966425.28049431
217,-3195111.28550421,5327513.79728755,2966322.95669836
218,-3195215.79461111,5327508.28838151,2966220.63037075
219,-3195320.30213585,5327502.77721328,2966118.30258982
220,-3195424.80816494,5327497.26373154,2966015.97335455
221,-3195529.31324685,5327491.74790804,2965913.64212662
222,-3195633.81564951,5327486.22987822,2965811.31052334
223,-3195738.31706157,5327480.70953291,2965708.97692696
224,-3195842.81697783,5327475.18687377,2965606.64187698
225,-3195947.29963775,5327469.67135552,2965504.30537345
226,-3196051.7964324,5327464.14414694,2965401.96741642
227,-3196156.29054765,5327458.61473248,2965299.62908386
228,-3196260.7842638,5327453.08294819,2965197.28821998
229,-3196365.27703236,5327447.54882203,2965094.94536378
230,-3196469.76766983,5327442.012462,2964992.60159324
231,-3196574.25672459,5327436.47384007,2964890.25636945
232,-3196678.74432649,5327430.93287831,2964787.90969246
233,-3196783.2303456,5327425.38965466,2964685.56156232
234,-3196887.69923801,5327419.85349669,2964583.21197907
235,-3196992.18213471,5327414.30572357,2964480.86094278
236,-3197096.66353508,5327408.75563658,2964378.50845348
237,-3197201.1434391,5327403.20323542,2964276.15451175
238,-3197305.62116844,5327397.64862679,2964173.79965565
239,-3197410.09794966,5327392.09167616,2964071.44280765
240,-3197514.57323438,5327386.53241166,2963969.08450686
241,-3197619.04689265,5327380.97091124,2963866.72475331
242,-3197723.51909762,5327375.40707096,2963764.36354706
243,-3197827.98967606,5327369.84099475,2963662.00088816
244,-3197932.44317081,5327364.28196129,2963559.63677667
245,-3198036.91130415,5327358.71122941,2963457.27067352
246,-3198141.37730581,5327353.13826381,2963354.90365696
247,-3198245.84117578,5327347.56306456,2963252.53572707
248,-3198350.30350561,5327341.98557743,2963150.16634479
249,-3198454.76488681,5327336.40574816,2963047.79497104
250,-3198559.22477106,5327330.82360499,2962945.422145
251,-3198663.68307171,5327325.2391999,2962843.04786672
252,-3198768.13983203,5327319.6525069,2962740.67213622
253,-3198872.59564353,5327314.06347136,2962638.29441495
254,-3198977.03369291,5327308.48158821,2962535.91578021
255,-3199081.48587526,5327302.88800576,2962433.53569341
256,-3199185.93583903,5327297.29224144,2962331.15469433
257,-3199290.38434883,5327291.69413753,2962228.77224278
258,-3199394.83127474,5327286.09377173,2962126.38833935
259,-3199499.27720821,5327280.49108964,2962024.00244489
260,-3199603.72168758,5327274.88606763,2961921.61509862
261,-3199708.16517437,5327269.27872927,2961819.22576139
262,-3199812.60652892,5327263.66915738,2961716.83551167
263,-3199917.04634265,5327258.05729757,2961614.44381031
264,-3200021.46898554,5327252.45253857,2961512.05065734
265,-3200125.90576081,5327246.83607719,2961409.65605283
266,-3200230.34095181,5327241.21735388,2961307.25999682
267,-3200334.77401042,5327235.59639713,2961204.86302863
268,-3200439.20552799,5327229.97315246,2961102.46460906
269,-3200543.63668728,5327224.34751084,2961000.06365959
270,-3200648.06575734,5327218.71960977,2960897.6617981
271,-3200752.49324294,5327213.08944645,2960795.2584859
272,-3200856.91914401,5327207.45702152,2960692.85372196
273,-3200961.32796058,5327201.8316481,2960590.44750689
274,-3201065.75082238,5327196.19462156,2960488.03984071
275,-3201170.17218613,5327190.55528105,2960385.63072349
276,-3201274.59192188,5327184.91370462,2960283.22015528
277,-3201379.0101595,5327179.26981421,2960180.80813611
278,-3201483.42685562,5327173.62363585,2960078.39466606
279,-3201587.8414622,5327167.97519816,2959975.98028451
280,-3201692.25507523,5327162.32444389,2959873.56391283
281,-3201796.66714664,5327156.67140165,2959771.1460904
282,-3201901.07767639,5327151.01607145,2959668.72681727
283,-3202005.47103478,5327145.36784786,2959566.30609349
284,-3202109.87848109,5327139.70794203,2959463.88391913
285,-3202214.28502017,5327134.04566748,2959361.45975481
286,-3202318.68938284,5327128.38118569,2959259.0346794
287,-3202423.09161238,5327122.71447069,2959156.60869296
288,-3202527.49284798,5327117.04543869,2959054.18071724
289,-3202631.89203693,5327111.37412174,2958951.75183009
290,-3202736.28964063,5327105.70054256,2958849.32149319
291,-3202840.68629347,5327100.02462093,2958746.88916608
292,-3202945.0814042,5327094.34641131,2958644.45538878
293,-3203049.4599345,5327088.67525651,2958542.01962187
294,-3203153.8519609,5327082.99247122,2958439.58294432
295,-3203258.24248835,5327077.30737191,2958337.14481674
296,-3203362.63143024,5327071.62001063,2958234.70523915
297,-3203467.01823863,5327065.93041625,2958132.26475113
298,-3203571.40409583,5327060.23847901,2958029.82227372
299,-3203675.78786276,5327054.54428264,2957927.37888599
300,-3203780.1705918,5327048.84779545,2957824.93350895
301,-3203884.55241277,5327043.1489393,2957722.48614265
302,-3203988.91651402,5327037.45722441,2957620.03786618
303,-3204093.29465872,5327031.75384748,2957517.58814007
304,-3204197.6712175,5327026.04820858,2957415.13696437
305,-3204302.04632022,5327020.34022929,2957312.68433965
306,-3204406.41924581,5327014.63004333,2957210.23080448
307,-3204510.79121972,5327008.91751439,2957107.77528031
308,-3204615.16165083,5327003.20269743,2957005.31830675
309,-3204719.53058237,5326997.48556641,2956902.85988385
310,-3204823.89792772,5326991.76617342,2956800.40001167
311,-3204928.26373013,5326986.04449242,2956697.93869024
312,-3205032.61236039,5326980.32992684,2956595.47591962
313,-3205136.9750768,5326974.60367011,2956493.01169987
314,-3205241.33625014,5326968.87512535,2956390.54603102
315,-3205345.69592364,5326963.14426652,2956288.07891314
316,-3205450.05337639,5326957.41122688,2956185.6108859
317,-3205554.41055453,5326951.67573687,2956083.14033045
318,-3205658.76551182,5326945.93806606,2955980.66886576
319,-3205763.11901242,5326940.19805511,2955878.19595222
320,-3205867.47033539,5326934.45583735,2955775.72212956
321,-3205971.82070597,5326928.7112764,2955673.24631851
322,-3206076.15390415,5326922.97383361,2955570.76905929
323,-3206180.50118784,5326917.2246969,2955468.29035091
324,-3206284.8463371,5326911.47332706,2955365.81073417
325,-3206389.19116796,5326905.71953297,2955263.32858897
326,-3206493.53323004,5326899.96358738,2955160.84607469
327,-3206597.8743827,5326894.20527244,2955058.36157227
328,-3206702.21394838,5326888.44469552,2954955.87562147
329,-3206806.55192702,5326882.68185661,2954853.38822232
330,-3206910.88781428,5326876.9167589,2954750.89991465
331,-3207015.22274862,5326871.14931783,2954648.40961899
332,-3207119.54059685,5326865.38894616,2954545.91787515
333,-3207223.8729477,5326859.61692608,2954443.4241434
334,-3207328.20325031,5326853.84262115,2954340.92950333
335,-3207432.5320522,5326848.06600209,2954238.43341522
336,-3207536.85867592,5326842.28717642,2954135.93641893
337,-3207641.18438968,5326836.50598124,2954033.43743491
338,-3207745.50851602,5326830.72252407,2953930.93700301
339,-3207849.83109818,5326824.93677884,2953828.43512327
340,-3207954.15154534,5326819.14880066,2953725.9323361
341,-3208058.45600114,5326813.36783618,2953623.42702103
342,-3208162.77399381,5326807.57520097,2953520.92079809
343,-3208267.09039883,5326801.78030375,2953418.41312753
344,-3208371.40517287,5326795.98317062,2953315.90400937
345,-3208475.71853234,5326790.18367118,2953213.39344369
346,-3208580.02971326,5326784.38196525,2953110.88197039
347,-3208684.33998372,5326778.57788966,2953008.3685098
348,-3208788.64925706,5326772.77149654,2952905.85306194
349,-3208892.95639502,5326766.96287085,2952803.33670662
350,-3208997.26139759,5326761.15201264,2952700.81944393
351,-3209101.54981768,5326755.34822618,2952598.30019411
352,-3209205.85236483,5326749.53271047,2952495.77949711
353,-3209310.1533239,5326743.71493275,2952393.25735297
354,-3209414.45273812,5326737.89486694,2952290.73376176
355,-3209518.75060746,5326732.07251303,2952188.20872352
356,-3209623.0469319,5326726.24787072,2952085.68223882
357,-3209727.34171133,5326720.42094062,2951983.15430666
358,-3209831.63435512,5326714.59177778,2951880.62546812
359,-3209935.92604448,5326708.7602715,2951778.09464226
360,-3210040.21618875,5326702.92647711,2951675.56236963
361,-3210144.48856888,5326697.09986877,2951573.02919024
362,-3210248.77566611,5326691.2614724,2951470.49402421
363,-3210353.06117482,5326685.42081401,2951367.95741154
364,-3210457.34513824,5326679.57786751,2951265.4193523
365,-3210561.62814695,5326673.73257715,2951162.87930651
366,-3210665.90842907,5326667.88511018,2951060.33889427
367,-3210770.18779967,5326662.03527325,2950957.79649559
368,-3210874.46558152,5326656.1831743,2950855.25265054
369,-3210978.74177458,5326650.32881332,2950752.70735915
370,-3211083.01646539,5326644.47213813,2950650.16062149
371,-3211187.27343517,5326638.62262606,2950547.61297766
372,-3211291.54566862,5326632.761293,2950445.06280753
373,-3211395.81567925,5326626.89777985,2950342.51173134
374,-3211500.08418748,5326621.03195216,2950239.95920959
375,-3211604.3511499,5326615.16383664,2950137.4052413
376,-3211708.615976,5326609.2934889,2950034.85036713
377,-3211812.87989006,5326603.42077104,2949932.29350694
378,-3211917.14221493,5326597.54579115,2949829.73520088
379,-3212021.40303715,5326591.66849702,2949727.17544898
380,-3212125.64718927,5326585.79833527,2949624.61371119
381,-3212229.90428571,5326579.91654722,2949522.05160793
382,-3212334.16046985,5326574.03238898,2949419.48751886
383,-3212438.41506458,5326568.14596869,2949316.92198418
384,-3212542.66811314,5326562.25726027,2949214.35500392
385,-3212646.91957221,5326556.36628981,2949111.78657813
386,-3212751.16893788,5326550.47306112,2949009.21724704
387,-3212855.41739098,5326544.57746216,2948906.64593036
388,-3212959.66484488,5326538.6795451,2948804.07262813
389,-3213063.91020525,5326532.77936982,2948701.49842075
390,-3213168.13830481,5326526.88638562,2948598.92276863
391,-3213272.37993861,5326520.98171654,2948496.34621096
392,-3213376.62065959,5326515.07467711,2948393.76766792
393,-3213480.85920037,5326509.16543144,2948291.18822052
394,-3213585.0968282,5326503.2538157,2948188.60678729
395,-3213689.33282279,5326497.33996403,2948086.02390905
396,-3213793.56672362,5326491.42385423,2947983.44012608
397,-3213897.80030173,5326485.50531785,2947880.85381769
398,-3214002.03165611,5326479.58460168,2947778.26660468
399,-3214106.26155024,5326473.66154511,2947675.67794685
400,-3214210.47422656,5326467.74565686,2947573.08784425
401,-3214314.70094035,5326461.81807649,2947470.49629694
402,-3214418.92560346,5326455.88821194,2947367.90384524
403,-3214523.14926659,5326449.95602911,2947265.30940864
404,-3214627.37201625,5326444.02147572,2947162.71298716
405,-3214731.59254194,5326438.08474265,2947060.11566146
406,-3214835.81097352,5326432.14575155,2946957.51743163
407,-3214940.02849149,5326426.20438988,2946854.91721705
408,-3215044.24441898,5326420.26076583,2946752.31555864
409,-3215148.45884246,5326414.31482778,2946649.71245538
410,-3215252.65600457,5326408.37608724,2946547.10790784
411,-3215356.86729012,5326402.42559925,2946444.5019161
412,-3215461.07707155,5326396.47279693,2946341.89448019
413,-3215565.28526226,5326390.51773256,2946239.28560016
414,-3215669.49190548,5326384.56037999,2946136.67527606
415,-3215773.69641097,5326378.60079562,2946034.06404834
416,-3215877.8999158,5326372.63889281,2945931.45083627
417,-3215982.10195959,5326366.67464953,2945828.83618028
418,-3216086.30241243,5326360.70814417,2945726.22008043
419,-3216190.48569023,5326354.74878681,2945623.60253676
420,-3216294.68368108,5326348.77762275,2945520.9830089
421,-3216398.87944738,5326342.80427922,2945418.36257774
422,-3216503.07316229,5326336.82865169,2945315.74124337
423,-3216607.26587617,5326330.85070562,2945213.11792494
424,-3216711.45708541,5326324.87044519,2945110.49316296
425,-3216815.6461133,5326318.88797891,2945007.86749845
426,-3216919.83413999,5326312.90319435,2944905.23984949
427,-3217024.02007183,5326306.91615168,2944802.61129814
428,-3217128.20563575,5326300.92670799,2944699.98022191
429,-3217232.37347755,5326294.94444573,2944597.34824286
430,-3217336.55535504,5326288.95048246,2944494.71482055
431,-3217440.735641,5326282.95425711,2944392.07995503
432,-3217544.91387521,5326276.95574787,2944289.44418687
433,-3217649.09110787,5326270.95491994,2944186.80643508
434,-3217753.26683545,5326264.95177763,2944084.16724023
435,-3217857.44038129,5326258.9464299,2943981.52714292
436,-3217961.61355875,5326252.93868062,2943878.88452156
437,-3218065.78459767,5326246.92869977,2943776.24099782
438,-3218169.95404476,5326240.91645684,2943673.59603123
439,-3218274.10640286,5326234.91131566,2943570.94962183
440,-3218378.27283932,5326228.89444425,2943468.30176967
441,-3218482.43768382,5326222.87531076,2943365.6524748
442,-3218586.60093631,5326216.85391519,2943263.00173728
443,-3218690.76209339,5326210.83026166,2943160.35009827
444,-3218794.92292485,5326204.80418052,2943057.69593497
445,-3218899.08098425,5326198.77595084,2942955.04141039
446,-3219003.23808471,5326192.74537614,2942852.38490274
447,-3219107.39363624,5326186.71251319,2942749.72695267
448,-3219211.54763878,5326180.67736199,2942647.06756026
449,-3219315.68446549,5326174.64936789,2942544.40672553
450,-3219419.83541323,5326168.60961433,2942441.74444855
451,-3219523.98476857,5326162.56759867,2942339.08072936
452,-3219628.13316464,5326156.52323788,2942236.41502734
453,-3219732.27883172,5326150.47670258,2942133.74896456
454,-3219836.42358273,5326144.42779598,2942031.08091905
455,-3219940.566108,5326138.37671036,2941928.41197224
456,-3220044.7077171,5326132.32325342,2941825.74104278
457,-3220148.84777683,5326126.26750821,2941723.06867142
458,-3220252.97066048,5326120.21892283,2941620.3948582
459,-3220357.10762135,5326114.15860108,2941517.71960371
460,-3220461.2436658,5326108.09590821,2941415.04236619
461,-3220565.37693777,5326102.0310669,2941312.36476898
462,-3220669.50924994,5326095.96388064,2941209.68518885
463,-3220773.63942267,5326089.89446312,2941107.00470787
464,-3220877.7686788,5326083.82267415,2941004.32224459
465,-3220981.89575212,5326077.74868011,2940901.63888058
466,-3221086.02190875,5326071.67231459,2940798.95353436
467,-3221190.1463857,5326065.59373932,2940696.26674673
468,-3221294.25440594,5326059.52219131,2940593.57797695
469,-3221398.3758697,5326053.43898741,2940490.88830666
470,-3221502.49582679,5326047.35346904,2940388.19719512
471,-3221606.6141473,5326041.26571474,2940285.50464238
472,-3221710.73096106,5326035.17564598,2940182.81064849
473,-3221814.84563502,5326029.08334607,2940080.11575433
474,-3221918.95939186,5326022.98867454,2939977.4188783
475,-3222023.07096553,5326016.89179808,2939874.72110212
476,-3222127.18221169,5326010.7924928,2939772.02080329
477,-3222231.29127462,5326004.69098226,2939669.31960494
478,-3222335.38311765,5325998.59666413,2939566.61696521
479,-3222439.4891232,5325992.49055142,2939463.91288468
480,-3222543.59353507,5325986.3821766,2939361.20736341
481,-3222647.6963965,5325980.27151347,2939258.50040144
482,-3222751.79770746,5325974.15856203,2939155.79199882
483,-3222855.89742459,5325968.04334848,2939053.08215561
484,-3222959.99567773,5325961.92579424,2938950.37087184
485,-3223064.09174734,5325955.80603518,2938847.65868851
486,-3223168.18689922,5325949.68390432,2938744.94452381
487,-3223272.2647877,5325943.5689945,2938642.22891872
488,-3223376.35679486,5325937.44231352,2938539.51187328
489,-3223480.44729452,5325931.31331802,2938436.79338755
490,-3223584.53620006,5325925.1820604,2938334.07346157
491,-3223688.62355471,5325919.04851445,2938231.3520954
492,-3223792.7099913,5325912.9125966,2938128.62874811
493,-3223896.79420081,5325906.77449989,2938025.90450222
494,-3224000.87635629,5325900.63412017,2937923.17935675
495,-3224104.95628466,5325894.49156168,2937820.45331284
496,-3224209.03592757,5325888.34654794,2937717.72474646
497,-3224313.0983501,5325882.20873208,2937614.9947402
498,-3224417.17484742,5325876.05916818,2937512.26329409
499,-3224521.2497935,5325869.90731595,2937409.53040819
500,-3224625.32377781,5325863.75311789,2937306.79554151
501,-3224729.39562129,5325857.59668898,2937204.05977617
502,-3224833.4659567,5325851.43794552,2937101.32257119
503,-3224937.53469741,5325845.27693992,2936998.58392662
504,-3225041.60129721,5325839.11370353,2936895.84438358
505,-3225145.66634552,5325832.94817883,2936793.10340106
506,-3225249.73047506,5325826.78028202,2936690.36043803
507,-3225353.77738396,5325820.61958615,2936587.61603562
508,-3225457.83891316,5325814.44710778,2936484.86965277
509,-3225561.89838783,5325808.27234622,2936382.12237172
510,-3225665.95626749,5325802.09532253,2936279.37365143
511,-3225770.01255214,5325795.91603639,2936176.62349248
512,-3225874.06737153,5325789.73440977,2936073.87189386
513,-3225978.12059579,5325783.55052101,2935971.11885616
514,-3226082.17167877,5325777.36440157,2935868.36492057
515,-3226186.22120983,5325771.1759938,2935765.60954601
516,-3226290.27041095,5325764.98515607,2935662.8516502
